Generation;PopBestRed;PopBestBlue;PopAvgRed;PopAvgBlue;BestOverallRed;BestOverallBlue
580;28422,88;48892,99;-10531,16;5954,671;28422,88;48892,99
581;28349,99;49141,41;-12987,07;8586,766;28349,99;49141,41
582;27929,55;49222,95;-10121,66;9263,397;27929,55;49222,95
583;27984,66;49034,43;-21192,53;15658,39;27984,66;49034,43
584;45754,01;48823,93;-2472,666;3358,208;45754,01;48823,93
585;28998,89;49751,63;-13807,28;10952,48;28998,89;49751,63
586;28823,16;29550,49;-3754,435;5989,027;28823,16;29550,49
587;28726,17;28898,91;598,6971;2039,083;28726,17;28898,91
588;28184,06;50056,13;-1318,194;3727,907;28184,06;50056,13
589;27665,48;27586,49;-8018,919;9528,844;27665,48;27586,49
590;28314,07;48892,98;-7165,553;6842,467;28314,07;48892,98
591;29174,31;28367,55;843,8204;573,4913;29174,31;28367,55
592;28996,08;48874,85;-13883,64;10163,21;28996,08;48874,85
593;26390,27;48789,11;-14952,06;12085,58;26390,27;48789,11
594;27806,36;27817,51;-499,944;1280,796;27806,36;27817,51
595;27942,13;48732,79;-7479,34;6650,977;27942,13;48732,79
596;28046,5;28779,01;-3577,625;3478,01;28046,5;28779,01
597;28437,91;29331,49;-3281,601;2160,128;28437,91;29331,49
598;27701,76;50122,22;-8146,274;6749,531;27701,76;50122,22
599;28531,64;28279,86;-1256,946;2357,819;28531,64;28279,86
600;28126,35;27816,99;-87,8016;4021,426;28126,35;27816,99
601;29889,49;48897,89;615,0466;1997,455;29889,49;48897,89
602;28599,32;27349,23;3117,354;-1500,388;28599,32;27349,23
603;28732,03;29916,91;2705,02;1940,871;28732,03;29916,91
604;29415,66;29378,13;2639,879;329,2452;29415,66;29378,13
605;28035,35;28515,4;-9268,596;8974,033;28035,35;28515,4
606;49803,18;28502,08;-492,1595;2684,551;49803,18;28502,08
607;28681,24;27977,08;-2076,622;3037,465;28681,24;27977,08
608;30100,76;49648,09;-236,101;1058,548;30100,76;49648,09
609;27870,24;29568,63;-988,525;3212,174;27870,24;29568,63
610;28250,71;28290,88;-1161,151;3325,047;28250,71;28290,88
611;28147,42;48977,36;-16330,59;11579,04;28147,42;48977,36
612;48666,13;48951,08;1483,445;-342,6427;48666,13;48951,08
613;49198,66;48902,23;4256,025;-5654,223;49198,66;48902,23
614;29461,03;49639;567,8397;850,9352;29461,03;49639
615;48604,88;28213,98;7728,201;-7112,546;48604,88;28213,98
